Emoji in emoji.txt: 5225
Annotation entries in CLDR: 3948
Emoji missing from CLDR annotations: 1277

0023 FE0F 20E3	#️⃣
1F6B6 1F3FB 200D 2642 200D 27A1 FE0F	🚶🏻‍♂‍➡️
1F6B6 1F3FB 200D 2642 FE0F	🚶🏻‍♂️
1F6B6 1F3FB 200D 2642 FE0F 200D 27A1	🚶🏻‍♂️‍➡
1F6B6 1F3FB 200D 2642 FE0F 200D 27A1 FE0F	🚶🏻‍♂️‍➡️
1F6B6 1F3FB 200D 27A1 FE0F	🚶🏻‍➡️
1F6B6 1F3FC 200D 2640 200D 27A1 FE0F	🚶🏼‍♀‍➡️
1F6B6 1F3FC 200D 2640 FE0F	🚶🏼‍♀️
1F6B6 1F3FC 200D 2640 FE0F 200D 27A1	🚶🏼‍♀️‍➡
1F6B6 1F3FC 200D 2640 FE0F 200D 27A1 FE0F	🚶🏼‍♀️‍➡️
1F6B6 1F3FC 200D 2642 200D 27A1 FE0F	🚶🏼‍♂‍➡️
1F6B6 1F3FC 200D 2642 FE0F	🚶🏼‍♂️
1F6B6 1F3FC 200D 2642 FE0F 200D 27A1	🚶🏼‍♂️‍➡
1F6B6 1F3FC 200D 2642 FE0F 200D 27A1 FE0F	🚶🏼‍♂️‍➡️
1F6B6 1F3FC 200D 27A1 FE0F	🚶🏼‍➡️
1F6B6 1F3FD 200D 2640 200D 27A1 FE0F	🚶🏽‍♀‍➡️
1F6B6 1F3FD 200D 2640 FE0F	🚶🏽‍♀️
1F6B6 1F3FD 200D 2640 FE0F 200D 27A1	🚶🏽‍♀️‍➡
1F6B6 1F3FD 200D 2640 FE0F 200D 27A1 FE0F	🚶🏽‍♀️‍➡️
1F6B6 1F3FD 200D 2642 200D 27A1 FE0F	🚶🏽‍♂‍➡️
1F6B6 1F3FD 200D 2642 FE0F	🚶🏽‍♂️
1F6B6 1F3FD 200D 2642 FE0F 200D 27A1	🚶🏽‍♂️‍➡
1F6B6 1F3FD 200D 2642 FE0F 200D 27A1 FE0F	🚶🏽‍♂️‍➡️
1F6B6 1F3FD 200D 27A1 FE0F	🚶🏽‍➡️
1F6B6 1F3FE 200D 2640 200D 27A1 FE0F	🚶🏾‍♀‍➡️
1F6B6 1F3FE 200D 2640 FE0F	🚶🏾‍♀️
1F6B6 1F3FE 200D 2640 FE0F 200D 27A1	🚶🏾‍♀️‍➡
1F6B6 1F3FE 200D 2640 FE0F 200D 27A1 FE0F	🚶🏾‍♀️‍➡️
1F6B6 1F3FE 200D 2642 200D 27A1 FE0F	🚶🏾‍♂‍➡️
1F6B6 1F3FE 200D 2642 FE0F	🚶🏾‍♂️
1F6B6 1F3FE 200D 2642 FE0F 200D 27A1	🚶🏾‍♂️‍➡
1F6B6 1F3FE 200D 2642 FE0F 200D 27A1 FE0F	🚶🏾‍♂️‍➡️
1F6B6 1F3FE 200D 27A1 FE0F	🚶🏾‍➡️
1F6B6 1F3FF 200D 2640 200D 27A1 FE0F	🚶🏿‍♀‍➡️
1F6B6 1F3FF 200D 2640 FE0F	🚶🏿‍♀️
1F6B6 1F3FF 200D 2640 FE0F 200D 27A1	🚶🏿‍♀️‍➡
1F6B6 1F3FF 200D 2640 FE0F 200D 27A1 FE0F	🚶🏿‍♀️‍➡️
1F6B6 1F3FF 200D 2642 200D 27A1 FE0F	🚶🏿‍♂‍➡️
1F6B6 1F3FF 200D 2642 FE0F	🚶🏿‍♂️
1F6B6 1F3FF 200D 2642 FE0F 200D 27A1	🚶🏿‍♂️‍➡
1F6B6 1F3FF 200D 2642 FE0F 200D 27A1 FE0F	🚶🏿‍♂️‍➡️
1F6B6 1F3FF 200D 27A1 FE0F	🚶🏿‍➡️
1F6CB FE0F	🛋️
1F6CD FE0F	🛍️
1F6CE FE0F	🛎️
1F6CF FE0F	🛏️
1F6E0 FE0F	🛠️
1F6E1 FE0F	🛡️
1F6E2 FE0F	🛢️
1F6E3 FE0F	🛣️
1F6E4 FE0F	🛤️
1F6E5 FE0F	🛥️
1F6E9 FE0F	🛩️
1F6F0 FE0F	🛰️
1F6F3 FE0F	🛳️
1F926 200D 2640 FE0F	🤦‍♀️
1F926 200D 2642 FE0F	🤦‍♂️
1F926 1F3FB 200D 2640 FE0F	🤦🏻‍♀️
1F926 1F3FB 200D 2642 FE0F	🤦🏻‍♂️
1F926 1F3FC 200D 2640 FE0F	🤦🏼‍♀️
1F926 1F3FC 200D 2642 FE0F	🤦🏼‍♂️
1F926 1F3FD 200D 2640 FE0F	🤦🏽‍♀️
1F926 1F3FD 200D 2642 FE0F	🤦🏽‍♂️
1F926 1F3FE 200D 2640 FE0F	🤦🏾‍♀️
1F926 1F3FE 200D 2642 FE0F	🤦🏾‍♂️
1F926 1F3FF 200D 2640 FE0F	🤦🏿‍♀️
1F926 1F3FF 200D 2642 FE0F	🤦🏿‍♂️
1F935 200D 2640 FE0F	🤵‍♀️
1F935 200D 2642 FE0F	🤵‍♂️
1F935 1F3FB 200D 2640 FE0F	🤵🏻‍♀️
1F935 1F3FB 200D 2642 FE0F	🤵🏻‍♂️
1F935 1F3FC 200D 2640 FE0F	🤵🏼‍♀️
1F935 1F3FC 200D 2642 FE0F	🤵🏼‍♂️
1F935 1F3FD 200D 2640 FE0F	🤵🏽‍♀️
1F935 1F3FD 200D 2642 FE0F	🤵🏽‍♂️
1F935 1F3FE 200D 2640 FE0F	🤵🏾‍♀️
1F935 1F3FE 200D 2642 FE0F	🤵🏾‍♂️
1F935 1F3FF 200D 2640 FE0F	🤵🏿‍♀️
1F935 1F3FF 200D 2642 FE0F	🤵🏿‍♂️
1F937 200D 2640 FE0F	🤷‍♀️
1F937 200D 2642 FE0F	🤷‍♂️
1F937 1F3FB 200D 2640 FE0F	🤷🏻‍♀️
1F937 1F3FB 200D 2642 FE0F	🤷🏻‍♂️
1F937 1F3FC 200D 2640 FE0F	🤷🏼‍♀️
1F937 1F3FC 200D 2642 FE0F	🤷🏼‍♂️
1F937 1F3FD 200D 2640 FE0F	🤷🏽‍♀️
1F937 1F3FD 200D 2642 FE0F	🤷🏽‍♂️
1F937 1F3FE 200D 2640 FE0F	🤷🏾‍♀️
1F937 1F3FE 200D 2642 FE0F	🤷🏾‍♂️
1F937 1F3FF 200D 2640 FE0F	🤷🏿‍♀️
1F937 1F3FF 200D 2642 FE0F	🤷🏿‍♂️
1F938 200D 2640 FE0F	🤸‍♀️
1F938 200D 2642 FE0F	🤸‍♂️
1F938 1F3FB 200D 2640 FE0F	🤸🏻‍♀️
1F938 1F3FB 200D 2642 FE0F	🤸🏻‍♂️
1F938 1F3FC 200D 2640 FE0F	🤸🏼‍♀️
1F938 1F3FC 200D 2642 FE0F	🤸🏼‍♂️
1F938 1F3FD 200D 2640 FE0F	🤸🏽‍♀️
1F938 1F3FD 200D 2642 FE0F	🤸🏽‍♂️
1F938 1F3FE 200D 2640 FE0F	🤸🏾‍♀️
1F938 1F3FE 200D 2642 FE0F	🤸🏾‍♂️
1F938 1F3FF 200D 2640 FE0F	🤸🏿‍♀️
1F938 1F3FF 200D 2642 FE0F	🤸🏿‍♂️
1F939 200D 2640 FE0F	🤹‍♀️
1F939 200D 2642 FE0F	🤹‍♂️
1F939 1F3FB 200D 2640 FE0F	🤹🏻‍♀️
1F939 1F3FB 200D 2642 FE0F	🤹🏻‍♂️
1F939 1F3FC 200D 2640 FE0F	🤹🏼‍♀️
1F939 1F3FC 200D 2642 FE0F	🤹🏼‍♂️
1F939 1F3FD 200D 2640 FE0F	🤹🏽‍♀️
1F939 1F3FD 200D 2642 FE0F	🤹🏽‍♂️
1F939 1F3FE 200D 2640 FE0F	🤹🏾‍♀️
1F939 1F3FE 200D 2642 FE0F	🤹🏾‍♂️
1F939 1F3FF 200D 2640 FE0F	🤹🏿‍♀️
1F939 1F3FF 200D 2642 FE0F	🤹🏿‍♂️
1F93C 200D 2640 FE0F	🤼‍♀️
1F93C 200D 2642 FE0F	🤼‍♂️
1F93C 1F3FB 200D 2640 FE0F	🤼🏻‍♀️
1F93C 1F3FB 200D 2642 FE0F	🤼🏻‍♂️
1F93C 1F3FC 200D 2640 FE0F	🤼🏼‍♀️
1F93C 1F3FC 200D 2642 FE0F	🤼🏼‍♂️
1F93C 1F3FD 200D 2640 FE0F	🤼🏽‍♀️
1F93C 1F3FD 200D 2642 FE0F	🤼🏽‍♂️
1F93C 1F3FE 200D 2640 FE0F	🤼🏾‍♀️
1F93C 1F3FE 200D 2642 FE0F	🤼🏾‍♂️
1F93C 1F3FF 200D 2640 FE0F	🤼🏿‍♀️
1F93C 1F3FF 200D 2642 FE0F	🤼🏿‍♂️
1F93D 200D 2640 FE0F	🤽‍♀️
1F93D 200D 2642 FE0F	🤽‍♂️
1F93D 1F3FB 200D 2640 FE0F	🤽🏻‍♀️
1F93D 1F3FB 200D 2642 FE0F	🤽🏻‍♂️
1F93D 1F3FC 200D 2640 FE0F	🤽🏼‍♀️
1F93D 1F3FC 200D 2642 FE0F	🤽🏼‍♂️
1F93D 1F3FD 200D 2640 FE0F	🤽🏽‍♀️
1F93D 1F3FD 200D 2642 FE0F	🤽🏽‍♂️
1F93D 1F3FE 200D 2640 FE0F	🤽🏾‍♀️
1F93D 1F3FE 200D 2642 FE0F	🤽🏾‍♂️
1F93D 1F3FF 200D 2640 FE0F	🤽🏿‍♀️
1F93D 1F3FF 200D 2642 FE0F	🤽🏿‍♂️
1F93E 200D 2640 FE0F	🤾‍♀️
1F93E 200D 2642 FE0F	🤾‍♂️
1F93E 1F3FB 200D 2640 FE0F	🤾🏻‍♀️
1F93E 1F3FB 200D 2642 FE0F	🤾🏻‍♂️
1F93E 1F3FC 200D 2640 FE0F	🤾🏼‍♀️
1F93E 1F3FC 200D 2642 FE0F	🤾🏼‍♂️
1F93E 1F3FD 200D 2640 FE0F	🤾🏽‍♀️
1F93E 1F3FD 200D 2642 FE0F	🤾🏽‍♂️
1F93E 1F3FE 200D 2640 FE0F	🤾🏾‍♀️
1F93E 1F3FE 200D 2642 FE0F	🤾🏾‍♂️
1F93E 1F3FF 200D 2640 FE0F	🤾🏿‍♀️
1F93E 1F3FF 200D 2642 FE0F	🤾🏿‍♂️
1F9B8 200D 2640 FE0F	🦸‍♀️
1F9B8 200D 2642 FE0F	🦸‍♂️
1F9B8 1F3FB 200D 2640 FE0F	🦸🏻‍♀️
1F9B8 1F3FB 200D 2642 FE0F	🦸🏻‍♂️
1F9B8 1F3FC 200D 2640 FE0F	🦸🏼‍♀️
1F9B8 1F3FC 200D 2642 FE0F	🦸🏼‍♂️
1F9B8 1F3FD 200D 2640 FE0F	🦸🏽‍♀️
1F9B8 1F3FD 200D 2642 FE0F	🦸🏽‍♂️
1F9B8 1F3FE 200D 2640 FE0F	🦸🏾‍♀️
1F9B8 1F3FE 200D 2642 FE0F	🦸🏾‍♂️
1F9B8 1F3FF 200D 2640 FE0F	🦸🏿‍♀️
1F9B8 1F3FF 200D 2642 FE0F	🦸🏿‍♂️
1F9B9 200D 2640 FE0F	🦹‍♀️
1F9B9 200D 2642 FE0F	🦹‍♂️
1F9B9 1F3FB 200D 2640 FE0F	🦹🏻‍♀️
1F9B9 1F3FB 200D 2642 FE0F	🦹🏻‍♂️
1F9B9 1F3FC 200D 2640 FE0F	🦹🏼‍♀️
1F9B9 1F3FC 200D 2642 FE0F	🦹🏼‍♂️
1F9B9 1F3FD 200D 2640 FE0F	🦹🏽‍♀️
1F9B9 1F3FD 200D 2642 FE0F	🦹🏽‍♂️
1F9B9 1F3FE 200D 2640 FE0F	🦹🏾‍♀️
1F9B9 1F3FE 200D 2642 FE0F	🦹🏾‍♂️
1F9B9 1F3FF 200D 2640 FE0F	🦹🏿‍♀️
1F9B9 1F3FF 200D 2642 FE0F	🦹🏿‍♂️
1F9CD 200D 2640 FE0F	🧍‍♀️
1F9CD 200D 2642 FE0F	🧍‍♂️
1F9CD 1F3FB 200D 2640 FE0F	🧍🏻‍♀️
1F9CD 1F3FB 200D 2642 FE0F	🧍🏻‍♂️
1F9CD 1F3FC 200D 2640 FE0F	🧍🏼‍♀️
1F9CD 1F3FC 200D 2642 FE0F	🧍🏼‍♂️
1F9CD 1F3FD 200D 2640 FE0F	🧍🏽‍♀️
1F9CD 1F3FD 200D 2642 FE0F	🧍🏽‍♂️
1F9CD 1F3FE 200D 2640 FE0F	🧍🏾‍♀️
1F9CD 1F3FE 200D 2642 FE0F	🧍🏾‍♂️
1F9CD 1F3FF 200D 2640 FE0F	🧍🏿‍♀️
1F9CD 1F3FF 200D 2642 FE0F	🧍🏿‍♂️
1F9CE 200D 2640 200D 27A1 FE0F	🧎‍♀‍➡️
1F9CE 200D 2640 FE0F	🧎‍♀️
1F9CE 200D 2640 FE0F 200D 27A1	🧎‍♀️‍➡
1F9CE 200D 2640 FE0F 200D 27A1 FE0F	🧎‍♀️‍➡️
1F9CE 200D 2642 200D 27A1 FE0F	🧎‍♂‍➡️
1F9CE 200D 2642 FE0F	🧎‍♂️
1F9CE 200D 2642 FE0F 200D 27A1	🧎‍♂️‍➡
1F9CE 200D 2642 FE0F 200D 27A1 FE0F	🧎‍♂️‍➡️
1F9CE 200D 27A1 FE0F	🧎‍➡️
1F9CE 1F3FB 200D 2640 200D 27A1 FE0F	🧎🏻‍♀‍➡️
1F9CE 1F3FB 200D 2640 FE0F	🧎🏻‍♀️
1F9CE 1F3FB 200D 2640 FE0F 200D 27A1	🧎🏻‍♀️‍➡
1F9CE 1F3FB 200D 2640 FE0F 200D 27A1 FE0F	🧎🏻‍♀️‍➡️
1F9CE 1F3FB 200D 2642 200D 27A1 FE0F	🧎🏻‍♂‍➡️
1F9CE 1F3FB 200D 2642 FE0F	🧎🏻‍♂️
1F9CE 1F3FB 200D 2642 FE0F 200D 27A1	🧎🏻‍♂️‍➡
1F9CE 1F3FB 200D 2642 FE0F 200D 27A1 FE0F	🧎🏻‍♂️‍➡️
1F9CE 1F3FB 200D 27A1 FE0F	🧎🏻‍➡️
1F9CE 1F3FC 200D 2640 200D 27A1 FE0F	🧎🏼‍♀‍➡️
1F9CE 1F3FC 200D 2640 FE0F	🧎🏼‍♀️
1F9CE 1F3FC 200D 2640 FE0F 200D 27A1	🧎🏼‍♀️‍➡
1F9CE 1F3FC 200D 2640 FE0F 200D 27A1 FE0F	🧎🏼‍♀️‍➡️
1F9CE 1F3FC 200D 2642 200D 27A1 FE0F	🧎🏼‍♂‍➡️
1F9CE 1F3FC 200D 2642 FE0F	🧎🏼‍♂️
1F9CE 1F3FC 200D 2642 FE0F 200D 27A1	🧎🏼‍♂️‍➡
1F9CE 1F3FC 200D 2642 FE0F 200D 27A1 FE0F	🧎🏼‍♂️‍➡️
1F9CE 1F3FC 200D 27A1 FE0F	🧎🏼‍➡️
1F9CE 1F3FD 200D 2640 200D 27A1 FE0F	🧎🏽‍♀‍➡️
1F9CE 1F3FD 200D 2640 FE0F	🧎🏽‍♀️
1F9CE 1F3FD 200D 2640 FE0F 200D 27A1	🧎🏽‍♀️‍➡
1F9CE 1F3FD 200D 2640 FE0F 200D 27A1 FE0F	🧎🏽‍♀️‍➡️
1F9CE 1F3FD 200D 2642 200D 27A1 FE0F	🧎🏽‍♂‍➡️
1F9CE 1F3FD 200D 2642 FE0F	🧎🏽‍♂️
1F9CE 1F3FD 200D 2642 FE0F 200D 27A1	🧎🏽‍♂️‍➡
1F9CE 1F3FD 200D 2642 FE0F 200D 27A1 FE0F	🧎🏽‍♂️‍➡️
1F9CE 1F3FD 200D 27A1 FE0F	🧎🏽‍➡️
1F9CE 1F3FE 200D 2640 200D 27A1 FE0F	🧎🏾‍♀‍➡️
1F9CE 1F3FE 200D 2640 FE0F	🧎🏾‍♀️
1F9CE 1F3FE 200D 2640 FE0F 200D 27A1	🧎🏾‍♀️‍➡
1F9CE 1F3FE 200D 2640 FE0F 200D 27A1 FE0F	🧎🏾‍♀️‍➡️
1F9CE 1F3FE 200D 2642 200D 27A1 FE0F	🧎🏾‍♂‍➡️
1F9CE 1F3FE 200D 2642 FE0F	🧎🏾‍♂️
1F9CE 1F3FE 200D 2642 FE0F 200D 27A1	🧎🏾‍♂️‍➡
1F9CE 1F3FE 200D 2642 FE0F 200D 27A1 FE0F	🧎🏾‍♂️‍➡️
1F9CE 1F3FE 200D 27A1 FE0F	🧎🏾‍➡️
1F9CE 1F3FF 200D 2640 200D 27A1 FE0F	🧎🏿‍♀‍➡️
1F9CE 1F3FF 200D 2640 FE0F	🧎🏿‍♀️
1F9CE 1F3FF 200D 2640 FE0F 200D 27A1	🧎🏿‍♀️‍➡
1F9CE 1F3FF 200D 2640 FE0F 200D 27A1 FE0F	🧎🏿‍♀️‍➡️
1F9CE 1F3FF 200D 2642 200D 27A1 FE0F	🧎🏿‍♂‍➡️
1F9CE 1F3FF 200D 2642 FE0F	🧎🏿‍♂️
1F9CE 1F3FF 200D 2642 FE0F 200D 27A1	🧎🏿‍♂️‍➡
1F9CE 1F3FF 200D 2642 FE0F 200D 27A1 FE0F	🧎🏿‍♂️‍➡️
1F9CE 1F3FF 200D 27A1 FE0F	🧎🏿‍➡️
1F9CF 200D 2640 FE0F	🧏‍♀️
1F9CF 200D 2642 FE0F	🧏‍♂️
1F9CF 1F3FB 200D 2640 FE0F	🧏🏻‍♀️
1F9CF 1F3FB 200D 2642 FE0F	🧏🏻‍♂️
1F9CF 1F3FC 200D 2640 FE0F	🧏🏼‍♀️
1F9CF 1F3FC 200D 2642 FE0F	🧏🏼‍♂️
1F9CF 1F3FD 200D 2640 FE0F	🧏🏽‍♀️
1F9CF 1F3FD 200D 2642 FE0F	🧏🏽‍♂️
1F9CF 1F3FE 200D 2640 FE0F	🧏🏾‍♀️
1F9CF 1F3FE 200D 2642 FE0F	🧏🏾‍♂️
1F9CF 1F3FF 200D 2640 FE0F	🧏🏿‍♀️
1F9CF 1F3FF 200D 2642 FE0F	🧏🏿‍♂️
1F9D1 200D 2695 FE0F	🧑‍⚕️
1F9D1 200D 2696 FE0F	🧑‍⚖️
1F9D1 200D 2708 FE0F	🧑‍✈️
1F9D1 200D 1F9AF 200D 27A1 FE0F	🧑‍🦯‍➡️
1F9D1 200D 1F9BC 200D 27A1 FE0F	🧑‍🦼‍➡️
1F9D1 200D 1F9BD 200D 27A1 FE0F	🧑‍🦽‍➡️
1F9D1 1F3FB 200D 2695 FE0F	🧑🏻‍⚕️
1F9D1 1F3FB 200D 2696 FE0F	🧑🏻‍⚖️
1F9D1 1F3FB 200D 2708 FE0F	🧑🏻‍✈️
1F9D1 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC	🧑🏻‍❤️‍💋‍🧑🏼
1F9D1 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD	🧑🏻‍❤️‍💋‍🧑🏽
1F9D1 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FE	🧑🏻‍❤️‍💋‍🧑🏾
1F9D1 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF	🧑🏻‍❤️‍💋‍🧑🏿
1F9D1 1F3FB 200D 2764 FE0F 200D 1F9D1 1F3FC	🧑🏻‍❤️‍🧑🏼
1F9D1 1F3FB 200D 2764 FE0F 200D 1F9D1 1F3FD	🧑🏻‍❤️‍🧑🏽
1F9D1 1F3FB 200D 2764 FE0F 200D 1F9D1 1F3FE	🧑🏻‍❤️‍🧑🏾
1F9D1 1F3FB 200D 2764 FE0F 200D 1F9D1 1F3FF	🧑🏻‍❤️‍🧑🏿
1F9D1 1F3FB 200D 1F9AF 200D 27A1 FE0F	🧑🏻‍🦯‍➡️
1F9D1 1F3FB 200D 1F9BC 200D 27A1 FE0F	🧑🏻‍🦼‍➡️
1F9D1 1F3FB 200D 1F9BD 200D 27A1 FE0F	🧑🏻‍🦽‍➡️
1F9D1 1F3FC 200D 2695 FE0F	🧑🏼‍⚕️
1F9D1 1F3FC 200D 2696 FE0F	🧑🏼‍⚖️
1F9D1 1F3FC 200D 2708 FE0F	🧑🏼‍✈️
1F9D1 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB	🧑🏼‍❤️‍💋‍🧑🏻
1F9D1 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD	🧑🏼‍❤️‍💋‍🧑🏽
1F9D1 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FE	🧑🏼‍❤️‍💋‍🧑🏾
1F9D1 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF	🧑🏼‍❤️‍💋‍🧑🏿
1F9D1 1F3FC 200D 2764 FE0F 200D 1F9D1 1F3FB	🧑🏼‍❤️‍🧑🏻
1F9D1 1F3FC 200D 2764 FE0F 200D 1F9D1 1F3FD	🧑🏼‍❤️‍🧑🏽
1F9D1 1F3FC 200D 2764 FE0F 200D 1F9D1 1F3FE	🧑🏼‍❤️‍🧑🏾
1F9D1 1F3FC 200D 2764 FE0F 200D 1F9D1 1F3FF	🧑🏼‍❤️‍🧑🏿
1F9D1 1F3FC 200D 1F9AF 200D 27A1 FE0F	🧑🏼‍🦯‍➡️
1F9D1 1F3FC 200D 1F9BC 200D 27A1 FE0F	🧑🏼‍🦼‍➡️
1F9D1 1F3FC 200D 1F9BD 200D 27A1 FE0F	🧑🏼‍🦽‍➡️
1F9D1 1F3FD 200D 2695 FE0F	🧑🏽‍⚕️
1F9D1 1F3FD 200D 2696 FE0F	🧑🏽‍⚖️
1F9D1 1F3FD 200D 2708 FE0F	🧑🏽‍✈️
1F9D1 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB	🧑🏽‍❤️‍💋‍🧑🏻
1F9D1 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC	🧑🏽‍❤️‍💋‍🧑🏼
1F9D1 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FE	🧑🏽‍❤️‍💋‍🧑🏾
1F9D1 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF	🧑🏽‍❤️‍💋‍🧑🏿
1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FB	🧑🏽‍❤️‍🧑🏻
1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FC	🧑🏽‍❤️‍🧑🏼
1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FE	🧑🏽‍❤️‍🧑🏾
1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FF	🧑🏽‍❤️‍🧑🏿
1F9D1 1F3FD 200D 1F9AF 200D 27A1 FE0F	🧑🏽‍🦯‍➡️
1F9D1 1F3FD 200D 1F9BC 200D 27A1 FE0F	🧑🏽‍🦼‍➡️
1F9D1 1F3FD 200D 1F9BD 200D 27A1 FE0F	🧑🏽‍🦽‍➡️
1F9D1 1F3FE 200D 2695 FE0F	🧑🏾‍⚕️
1F9D1 1F3FE 200D 2696 FE0F	🧑🏾‍⚖️
1F9D1 1F3FE 200D 2708 FE0F	🧑🏾‍✈️
1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB	🧑🏾‍❤️‍💋‍🧑🏻
1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC	🧑🏾‍❤️‍💋‍🧑🏼
1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD	🧑🏾‍❤️‍💋‍🧑🏽
1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF	🧑🏾‍❤️‍💋‍🧑🏿
1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FB	🧑🏾‍❤️‍🧑🏻
1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FC	🧑🏾‍❤️‍🧑🏼
1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FD	🧑🏾‍❤️‍🧑🏽
1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FF	🧑🏾‍❤️‍🧑🏿
1F9D1 1F3FE 200D 1F9AF 200D 27A1 FE0F	🧑🏾‍🦯‍➡️
1F9D1 1F3FE 200D 1F9BC 200D 27A1 FE0F	🧑🏾‍🦼‍➡️
1F9D1 1F3FE 200D 1F9BD 200D 27A1 FE0F	🧑🏾‍🦽‍➡️
1F9D1 1F3FF 200D 2695 FE0F	🧑🏿‍⚕️
1F9D1 1F3FF 200D 2696 FE0F	🧑🏿‍⚖️
1F9D1 1F3FF 200D 2708 FE0F	🧑🏿‍✈️
1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB	🧑🏿‍❤️‍💋‍🧑🏻
1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC	🧑🏿‍❤️‍💋‍🧑🏼
1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD	🧑🏿‍❤️‍💋‍🧑🏽
1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FE	🧑🏿‍❤️‍💋‍🧑🏾
1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FB	🧑🏿‍❤️‍🧑🏻
1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FC	🧑🏿‍❤️‍🧑🏼
1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FD	🧑🏿‍❤️‍🧑🏽
1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FE	🧑🏿‍❤️‍🧑🏾
1F9D1 1F3FF 200D 1F9AF 200D 27A1 FE0F	🧑🏿‍🦯‍➡️
1F9D1 1F3FF 200D 1F9BC 200D 27A1 FE0F	🧑🏿‍🦼‍➡️
1F9D1 1F3FF 200D 1F9BD 200D 27A1 FE0F	🧑🏿‍🦽‍➡️
1F9D4 200D 2640 FE0F	🧔‍♀️
1F9D4 200D 2642 FE0F	🧔‍♂️
1F9D4 1F3FB 200D 2640 FE0F	🧔🏻‍♀️
1F9D4 1F3FB 200D 2642 FE0F	🧔🏻‍♂️
1F9D4 1F3FC 200D 2640 FE0F	🧔🏼‍♀️
1F9D4 1F3FC 200D 2642 FE0F	🧔🏼‍♂️
1F9D4 1F3FD 200D 2640 FE0F	🧔🏽‍♀️
1F9D4 1F3FD 200D 2642 FE0F	🧔🏽‍♂️
1F9D4 1F3FE 200D 2640 FE0F	🧔🏾‍♀️
1F9D4 1F3FE 200D 2642 FE0F	🧔🏾‍♂️
1F9D4 1F3FF 200D 2640 FE0F	🧔🏿‍♀️
1F9D4 1F3FF 200D 2642 FE0F	🧔🏿‍♂️
1F9D6 200D 2640 FE0F	🧖‍♀️
1F9D6 200D 2642 FE0F	🧖‍♂️
1F9D6 1F3FB 200D 2640 FE0F	🧖🏻‍♀️
1F9D6 1F3FB 200D 2642 FE0F	🧖🏻‍♂️
1F9D6 1F3FC 200D 2640 FE0F	🧖🏼‍♀️
1F9D6 1F3FC 200D 2642 FE0F	🧖🏼‍♂️
1F9D6 1F3FD 200D 2640 FE0F	🧖🏽‍♀️
1F9D6 1F3FD 200D 2642 FE0F	🧖🏽‍♂️
1F9D6 1F3FE 200D 2640 FE0F	🧖🏾‍♀️
1F9D6 1F3FE 200D 2642 FE0F	🧖🏾‍♂️
1F9D6 1F3FF 200D 2640 FE0F	🧖🏿‍♀️
1F9D6 1F3FF 200D 2642 FE0F	🧖🏿‍♂️
1F9D7 200D 2640 FE0F	🧗‍♀️
1F9D7 200D 2642 FE0F	🧗‍♂️
1F9D7 1F3FB 200D 2640 FE0F	🧗🏻‍♀️
1F9D7 1F3FB 200D 2642 FE0F	🧗🏻‍♂️
